Row Labels,PWRHYD001,PWRHYD002,PWROHC002,PWRSOL001,PWRWND001,PWRSOL001S,PWRHYD004,PWRSOL002,PWRBIO001,PWRGEO,PWRTRNIMP
2020,7.4998065,3.7393825,4.553086,0.11899893,2.0071126,,0.096715941,0.21889192,1.1012946,21.786438,0.3
2021,7.4998065,3.7393825,3.338484,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,30.854237,0.3
2022,7.4998065,3.7393825,3.1606235,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,37.743276,0.3
2023,7.4998065,3.7393825,2.9830115,0.11899893,2.0071126,,0.096715941,0.21889192,1.41102,40.930519,0.3
2024,7.4998065,1.8035607,,0.11899893,2.0071126,,0.096715941,0.21889192,1.2346425,49.745422,0.3
2025,7.4998065,1.8035607,0.23147283,1.7818934,2.0071126,,0.096715941,0.21889192,1.41102,49.745422,0.3
2026,7.4998065,1.8035607,0.74161709,2.9779479,2.0071126,,0.096715941,0.21889192,1.41102,51.55021,0.3
2027,7.4998065,1.8035607,1.0563781,3.4776008,2.0071126,,0.096715941,0.21889192,1.41102,55.102664,0.3
2028,4.1181302,1.8035607,0.37944572,5.1843216,2.0071126,,0.096715941,0.21889192,1.41102,61.824854,0.3
2029,4.1181302,1.8035607,,5.5613239,2.0071126,,0.096715941,0.21889192,1.41102,66.829748,0.3
2030,4.1181302,1.2023738,,5.9641525,2.0071126,,0.096715941,0.21883407,1.41102,72.34943,0.3
2031,4.1181302,1.2023738,,6.7901635,2.0071126,,0.096715941,0.21794323,,78.49407,0.3
2032,4.1181302,1.2023738,,7.2757516,2.0071126,,0.096715941,0.21794323,,84.078251,0.3
2033,4.1181302,1.2023738,,8.3919557,2.0071126,,0.096715941,0.21794323,,89.461574,0.3
2034,4.1181302,6.922629,,9.5125062,2.0071126,,0.096715941,0.21345433,,89.461574,0.3
2035,4.1181302,6.922629,,9.5125062,12.217593,,0.096715941,0.20217422,,89.461574,0.3
2036,4.1181302,6.922629,,9.5125062,21.281957,,0.096715941,0.18032552,,89.461574,0.3
2037,1.5931453,6.922629,,11.245634,31.503588,,0.096715941,0.12888245,,89.461574,0.3
2038,1.5931453,6.922629,,14.185631,38.881127,,0.096715941,0.047706175,,89.461574,0.3
2039,1.5931453,6.922629,,18.073283,49.469596,,0.096715941,0.041389315,,85.97604,0.3
2040,,8.2026062,,30.632872,55.999147,,0.096715941,0.00578467,,79.029871,0.3
2041,,10.392214,,31.170513,62.94445,,0.096715941,0.00578467,,79.029871,0.3
2042,,10.392214,,31.271478,73.111096,,0.096715941,,,79.029871,0.3
2043,,24.701542,,40.941529,76.156339,,0.096715941,,,72.929248,0.3
2044,,33.365873,,70.294158,82.134021,,0.096715941,,,70.128773,0.3
2045,,33.365873,,92.249104,116.4154,,0.096715941,,,67.345452,0.3
2046,,33.365873,,122.30904,119.41487,11.214116,0.096715941,,,58.607337,0.3
2047,,33.365873,,130.09413,130.09413,38.538246,0.096715941,,,69.035664,0.3
2048,,33.365873,,142.67273,142.67273,67.656975,0.096715941,,,79.555485,0.3
2049,,33.365873,,151.57398,158.75928,136.54851,0.096715941,,,98.110239,0.3
2050,,33.365873,,150.37793,175.18329,136.54851,0.046531866,,,197.64143,0.3