,year,generated,technology,Power Type
0,2020,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
1,2021,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
2,2022,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
3,2023,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
4,2024,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
5,2025,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
6,2026,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
7,2027,0.499,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
8,2028,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
9,2029,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
10,2030,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
11,2031,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
12,2032,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
13,2033,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
14,2034,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
15,2035,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
16,2036,0.274,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
17,2037,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
18,2038,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
19,2039,0.106,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
20,2040,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
21,2041,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
22,2042,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
23,2043,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
24,2044,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
25,2045,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
26,2046,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
27,2047,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
28,2048,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
29,2049,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
30,2050,,Large Hydropower Plant (Dam) (>100MW),Non-intermittent renewables
31,2020,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
32,2021,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
33,2022,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
34,2023,0.2488,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
35,2024,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
36,2025,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
37,2026,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
38,2027,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
39,2028,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
40,2029,0.12,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
41,2030,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
42,2031,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
43,2032,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
44,2033,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
45,2034,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
46,2035,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
47,2036,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
48,2037,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
49,2038,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
50,2039,0.08,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
51,2040,0.099995339,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
52,2041,0.12890948,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
53,2042,0.15984022,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
54,2043,0.15984022,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
55,2044,0.15984022,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
56,2045,0.15984022,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
57,2046,0.23188694,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
58,2047,0.27220539,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
59,2048,0.27220539,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
60,2049,0.31151441,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
61,2050,1.1959249,Medium Hydropower Plant (10-100MW),Non-intermittent renewables
62,2020,0.2875,Light Fuel Oil Power Plant,Fossil fuel
63,2021,,Light Fuel Oil Power Plant,Fossil fuel
64,2022,,Light Fuel Oil Power Plant,Fossil fuel
65,2023,,Light Fuel Oil Power Plant,Fossil fuel
66,2024,,Light Fuel Oil Power Plant,Fossil fuel
67,2025,,Light Fuel Oil Power Plant,Fossil fuel
68,2026,,Light Fuel Oil Power Plant,Fossil fuel
69,2027,,Light Fuel Oil Power Plant,Fossil fuel
70,2028,,Light Fuel Oil Power Plant,Fossil fuel
71,2029,,Light Fuel Oil Power Plant,Fossil fuel
72,2030,,Light Fuel Oil Power Plant,Fossil fuel
73,2031,,Light Fuel Oil Power Plant,Fossil fuel
74,2032,,Light Fuel Oil Power Plant,Fossil fuel
75,2033,,Light Fuel Oil Power Plant,Fossil fuel
76,2034,,Light Fuel Oil Power Plant,Fossil fuel
77,2035,,Light Fuel Oil Power Plant,Fossil fuel
78,2036,,Light Fuel Oil Power Plant,Fossil fuel
79,2037,,Light Fuel Oil Power Plant,Fossil fuel
80,2038,,Light Fuel Oil Power Plant,Fossil fuel
81,2039,,Light Fuel Oil Power Plant,Fossil fuel
82,2040,,Light Fuel Oil Power Plant,Fossil fuel
83,2041,,Light Fuel Oil Power Plant,Fossil fuel
84,2042,,Light Fuel Oil Power Plant,Fossil fuel
85,2043,,Light Fuel Oil Power Plant,Fossil fuel
86,2044,,Light Fuel Oil Power Plant,Fossil fuel
87,2045,,Light Fuel Oil Power Plant,Fossil fuel
88,2046,,Light Fuel Oil Power Plant,Fossil fuel
89,2047,,Light Fuel Oil Power Plant,Fossil fuel
90,2048,,Light Fuel Oil Power Plant,Fossil fuel
91,2049,,Light Fuel Oil Power Plant,Fossil fuel
92,2050,,Light Fuel Oil Power Plant,Fossil fuel
93,2020,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
94,2021,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
95,2022,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
96,2023,0.447,Oil Fired Gas Turbine (SCGT),Fossil fuel
97,2024,0.327,Oil Fired Gas Turbine (SCGT),Fossil fuel
98,2025,0.327,Oil Fired Gas Turbine (SCGT),Fossil fuel
99,2026,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
100,2027,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
101,2028,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
102,2029,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
103,2030,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
104,2031,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
105,2032,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
106,2033,0.252,Oil Fired Gas Turbine (SCGT),Fossil fuel
107,2034,0.162,Oil Fired Gas Turbine (SCGT),Fossil fuel
108,2035,0.162,Oil Fired Gas Turbine (SCGT),Fossil fuel
109,2036,0.088,Oil Fired Gas Turbine (SCGT),Fossil fuel
110,2037,,Oil Fired Gas Turbine (SCGT),Fossil fuel
111,2038,,Oil Fired Gas Turbine (SCGT),Fossil fuel
112,2039,,Oil Fired Gas Turbine (SCGT),Fossil fuel
113,2040,,Oil Fired Gas Turbine (SCGT),Fossil fuel
114,2041,,Oil Fired Gas Turbine (SCGT),Fossil fuel
115,2042,,Oil Fired Gas Turbine (SCGT),Fossil fuel
116,2043,,Oil Fired Gas Turbine (SCGT),Fossil fuel
117,2044,,Oil Fired Gas Turbine (SCGT),Fossil fuel
118,2045,,Oil Fired Gas Turbine (SCGT),Fossil fuel
119,2046,,Oil Fired Gas Turbine (SCGT),Fossil fuel
120,2047,,Oil Fired Gas Turbine (SCGT),Fossil fuel
121,2048,,Oil Fired Gas Turbine (SCGT),Fossil fuel
122,2049,,Oil Fired Gas Turbine (SCGT),Fossil fuel
123,2050,,Oil Fired Gas Turbine (SCGT),Fossil fuel
124,2020,0.024,Solar PV (Utility),Intermittent renewables
125,2021,0.024,Solar PV (Utility),Intermittent renewables
126,2022,0.024,Solar PV (Utility),Intermittent renewables
127,2023,0.024,Solar PV (Utility),Intermittent renewables
128,2024,0.024,Solar PV (Utility),Intermittent renewables
129,2025,0.024,Solar PV (Utility),Intermittent renewables
130,2026,0.024,Solar PV (Utility),Intermittent renewables
131,2027,0.024,Solar PV (Utility),Intermittent renewables
132,2028,0.024,Solar PV (Utility),Intermittent renewables
133,2029,0.024,Solar PV (Utility),Intermittent renewables
134,2030,0.024,Solar PV (Utility),Intermittent renewables
135,2031,0.024,Solar PV (Utility),Intermittent renewables
136,2032,0.024,Solar PV (Utility),Intermittent renewables
137,2033,0.024,Solar PV (Utility),Intermittent renewables
138,2034,0.21578215,Solar PV (Utility),Intermittent renewables
139,2035,0.37414606,Solar PV (Utility),Intermittent renewables
140,2036,0.53489717,Solar PV (Utility),Intermittent renewables
141,2037,0.90627887,Solar PV (Utility),Intermittent renewables
142,2038,1.1463887,Solar PV (Utility),Intermittent renewables
143,2039,1.3923786,Solar PV (Utility),Intermittent renewables
144,2040,1.6841041,Solar PV (Utility),Intermittent renewables
145,2041,1.9052288,Solar PV (Utility),Intermittent renewables
146,2042,2.1422115,Solar PV (Utility),Intermittent renewables
147,2043,2.4079612,Solar PV (Utility),Intermittent renewables
148,2044,2.6912836,Solar PV (Utility),Intermittent renewables
149,2045,2.9665267,Solar PV (Utility),Intermittent renewables
150,2046,3.3016703,Solar PV (Utility),Intermittent renewables
151,2047,3.6171709,Solar PV (Utility),Intermittent renewables
152,2048,3.9204977,Solar PV (Utility),Intermittent renewables
153,2049,3.9204977,Solar PV (Utility),Intermittent renewables
154,2050,3.9204977,Solar PV (Utility),Intermittent renewables
155,2020,0.31,Onshore Wind,Intermittent renewables
156,2021,0.31,Onshore Wind,Intermittent renewables
157,2022,0.31,Onshore Wind,Intermittent renewables
158,2023,0.31,Onshore Wind,Intermittent renewables
159,2024,0.31,Onshore Wind,Intermittent renewables
160,2025,0.31,Onshore Wind,Intermittent renewables
161,2026,0.31,Onshore Wind,Intermittent renewables
162,2027,0.31,Onshore Wind,Intermittent renewables
163,2028,0.31,Onshore Wind,Intermittent renewables
164,2029,0.31,Onshore Wind,Intermittent renewables
165,2030,0.31,Onshore Wind,Intermittent renewables
166,2031,0.31,Onshore Wind,Intermittent renewables
167,2032,0.31,Onshore Wind,Intermittent renewables
168,2033,0.31,Onshore Wind,Intermittent renewables
169,2034,0.31,Onshore Wind,Intermittent renewables
170,2035,1.305681,Onshore Wind,Intermittent renewables
171,2036,1.305681,Onshore Wind,Intermittent renewables
172,2037,1.305681,Onshore Wind,Intermittent renewables
173,2038,1.4627298,Onshore Wind,Intermittent renewables
174,2039,1.6239509,Onshore Wind,Intermittent renewables
175,2040,2.1721122,Onshore Wind,Intermittent renewables
176,2041,2.1973465,Onshore Wind,Intermittent renewables
177,2042,2.2221989,Onshore Wind,Intermittent renewables
178,2043,2.4274985,Onshore Wind,Intermittent renewables
179,2044,2.644427,Onshore Wind,Intermittent renewables
180,2045,2.764516,Onshore Wind,Intermittent renewables
181,2046,2.764516,Onshore Wind,Intermittent renewables
182,2047,2.764516,Onshore Wind,Intermittent renewables
183,2048,3.272076,Onshore Wind,Intermittent renewables
184,2049,5.911416,Onshore Wind,Intermittent renewables
185,2050,6.1971787,Onshore Wind,Intermittent renewables
186,2020,0.006435,Off-grid Hydropower,Non-intermittent renewables
187,2021,0.3,Off-grid Hydropower,Non-intermittent renewables
188,2022,0.3,Off-grid Hydropower,Non-intermittent renewables
189,2023,0.3,Off-grid Hydropower,Non-intermittent renewables
190,2024,0.3,Off-grid Hydropower,Non-intermittent renewables
191,2025,0.3,Off-grid Hydropower,Non-intermittent renewables
192,2026,0.3,Off-grid Hydropower,Non-intermittent renewables
193,2027,0.3,Off-grid Hydropower,Non-intermittent renewables
194,2028,0.3,Off-grid Hydropower,Non-intermittent renewables
195,2029,0.3,Off-grid Hydropower,Non-intermittent renewables
196,2030,0.3,Off-grid Hydropower,Non-intermittent renewables
197,2031,0.3,Off-grid Hydropower,Non-intermittent renewables
198,2032,0.3,Off-grid Hydropower,Non-intermittent renewables
199,2033,0.3,Off-grid Hydropower,Non-intermittent renewables
200,2034,0.3,Off-grid Hydropower,Non-intermittent renewables
201,2035,0.3,Off-grid Hydropower,Non-intermittent renewables
202,2036,0.3,Off-grid Hydropower,Non-intermittent renewables
203,2037,0.3,Off-grid Hydropower,Non-intermittent renewables
204,2038,0.3,Off-grid Hydropower,Non-intermittent renewables
205,2039,0.3,Off-grid Hydropower,Non-intermittent renewables
206,2040,0.3,Off-grid Hydropower,Non-intermittent renewables
207,2041,0.3,Off-grid Hydropower,Non-intermittent renewables
208,2042,0.3,Off-grid Hydropower,Non-intermittent renewables
209,2043,0.3,Off-grid Hydropower,Non-intermittent renewables
210,2044,0.3,Off-grid Hydropower,Non-intermittent renewables
211,2045,0.3,Off-grid Hydropower,Non-intermittent renewables
212,2046,0.3,Off-grid Hydropower,Non-intermittent renewables
213,2047,0.3,Off-grid Hydropower,Non-intermittent renewables
214,2048,0.3,Off-grid Hydropower,Non-intermittent renewables
215,2049,0.3,Off-grid Hydropower,Non-intermittent renewables
216,2050,0.3,Off-grid Hydropower,Non-intermittent renewables
217,2020,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
218,2021,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
219,2022,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
220,2023,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
221,2024,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
222,2025,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
223,2026,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
224,2027,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
225,2028,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
226,2029,0.03784,Solar PV (Distributed with Storage),Intermittent renewables
227,2030,0.03783,Solar PV (Distributed with Storage),Intermittent renewables
228,2031,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
229,2032,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
230,2033,0.037676,Solar PV (Distributed with Storage),Intermittent renewables
231,2034,0.0369,Solar PV (Distributed with Storage),Intermittent renewables
232,2035,0.03495,Solar PV (Distributed with Storage),Intermittent renewables
233,2036,0.031173,Solar PV (Distributed with Storage),Intermittent renewables
234,2037,0.02228,Solar PV (Distributed with Storage),Intermittent renewables
235,2038,0.008247,Solar PV (Distributed with Storage),Intermittent renewables
236,2039,0.007155,Solar PV (Distributed with Storage),Intermittent renewables
237,2040,0.001,Solar PV (Distributed with Storage),Intermittent renewables
238,2041,0.001,Solar PV (Distributed with Storage),Intermittent renewables
239,2042,,Solar PV (Distributed with Storage),Intermittent renewables
240,2043,,Solar PV (Distributed with Storage),Intermittent renewables
241,2044,,Solar PV (Distributed with Storage),Intermittent renewables
242,2045,,Solar PV (Distributed with Storage),Intermittent renewables
243,2046,,Solar PV (Distributed with Storage),Intermittent renewables
244,2047,,Solar PV (Distributed with Storage),Intermittent renewables
245,2048,,Solar PV (Distributed with Storage),Intermittent renewables
246,2049,,Solar PV (Distributed with Storage),Intermittent renewables
247,2050,,Solar PV (Distributed with Storage),Intermittent renewables
248,2020,0.09,Biomass Power Plant,Non-intermittent renewables
249,2021,0.09,Biomass Power Plant,Non-intermittent renewables
250,2022,0.09,Biomass Power Plant,Non-intermittent renewables
251,2023,0.09,Biomass Power Plant,Non-intermittent renewables
252,2024,0.09,Biomass Power Plant,Non-intermittent renewables
253,2025,0.09,Biomass Power Plant,Non-intermittent renewables
254,2026,0.09,Biomass Power Plant,Non-intermittent renewables
255,2027,0.09,Biomass Power Plant,Non-intermittent renewables
256,2028,0.09,Biomass Power Plant,Non-intermittent renewables
257,2029,0.09,Biomass Power Plant,Non-intermittent renewables
258,2030,0.09,Biomass Power Plant,Non-intermittent renewables
259,2031,,Biomass Power Plant,Non-intermittent renewables
260,2032,,Biomass Power Plant,Non-intermittent renewables
261,2033,,Biomass Power Plant,Non-intermittent renewables
262,2034,,Biomass Power Plant,Non-intermittent renewables
263,2035,,Biomass Power Plant,Non-intermittent renewables
264,2036,,Biomass Power Plant,Non-intermittent renewables
265,2037,,Biomass Power Plant,Non-intermittent renewables
266,2038,,Biomass Power Plant,Non-intermittent renewables
267,2039,,Biomass Power Plant,Non-intermittent renewables
268,2040,,Biomass Power Plant,Non-intermittent renewables
269,2041,,Biomass Power Plant,Non-intermittent renewables
270,2042,,Biomass Power Plant,Non-intermittent renewables
271,2043,,Biomass Power Plant,Non-intermittent renewables
272,2044,,Biomass Power Plant,Non-intermittent renewables
273,2045,,Biomass Power Plant,Non-intermittent renewables
274,2046,,Biomass Power Plant,Non-intermittent renewables
275,2047,,Biomass Power Plant,Non-intermittent renewables
276,2048,,Biomass Power Plant,Non-intermittent renewables
277,2049,,Biomass Power Plant,Non-intermittent renewables
278,2050,,Biomass Power Plant,Non-intermittent renewables
279,2020,,Coal Power Plant,Fossil fuel
280,2021,0.010819564,Coal Power Plant,Fossil fuel
281,2022,0.010819564,Coal Power Plant,Fossil fuel
282,2023,0.010819564,Coal Power Plant,Fossil fuel
283,2024,0.010819564,Coal Power Plant,Fossil fuel
284,2025,0.010819564,Coal Power Plant,Fossil fuel
285,2026,0.010819564,Coal Power Plant,Fossil fuel
286,2027,0.010819564,Coal Power Plant,Fossil fuel
287,2028,0.010819564,Coal Power Plant,Fossil fuel
288,2029,0.010819564,Coal Power Plant,Fossil fuel
289,2030,0.010819564,Coal Power Plant,Fossil fuel
290,2031,0.010819564,Coal Power Plant,Fossil fuel
291,2032,0.010819564,Coal Power Plant,Fossil fuel
292,2033,0.010819564,Coal Power Plant,Fossil fuel
293,2034,0.010819564,Coal Power Plant,Fossil fuel
294,2035,0.010819564,Coal Power Plant,Fossil fuel
295,2036,0.010819564,Coal Power Plant,Fossil fuel
296,2037,0.010819564,Coal Power Plant,Fossil fuel
297,2038,0.010819564,Coal Power Plant,Fossil fuel
298,2039,0.010819564,Coal Power Plant,Fossil fuel
299,2040,0.010819564,Coal Power Plant,Fossil fuel
300,2041,0.010819564,Coal Power Plant,Fossil fuel
301,2042,0.010819564,Coal Power Plant,Fossil fuel
302,2043,0.019822472,Coal Power Plant,Fossil fuel
303,2044,0.029409101,Coal Power Plant,Fossil fuel
304,2045,0.029409101,Coal Power Plant,Fossil fuel
305,2046,0.031488872,Coal Power Plant,Fossil fuel
306,2047,0.031488872,Coal Power Plant,Fossil fuel
307,2048,0.031488872,Coal Power Plant,Fossil fuel
308,2049,0.031488872,Coal Power Plant,Fossil fuel
309,2050,0.031488872,Coal Power Plant,Fossil fuel
310,2020,1.1755158,Geothermal Power Plant,Non-intermittent renewables
311,2021,1.4232611,Geothermal Power Plant,Non-intermittent renewables
312,2022,1.5792101,Geothermal Power Plant,Non-intermittent renewables
313,2023,1.7021035,Geothermal Power Plant,Non-intermittent renewables
314,2024,1.9446904,Geothermal Power Plant,Non-intermittent renewables
315,2025,2.0973692,Geothermal Power Plant,Non-intermittent renewables
316,2026,2.2820478,Geothermal Power Plant,Non-intermittent renewables
317,2027,2.4840909,Geothermal Power Plant,Non-intermittent renewables
318,2028,2.8598354,Geothermal Power Plant,Non-intermittent renewables
319,2029,3.0800315,Geothermal Power Plant,Non-intermittent renewables
320,2030,3.3425792,Geothermal Power Plant,Non-intermittent renewables
321,2031,3.656137,Geothermal Power Plant,Non-intermittent renewables
322,2032,3.9231256,Geothermal Power Plant,Non-intermittent renewables
323,2033,4.2481269,Geothermal Power Plant,Non-intermittent renewables
324,2034,4.4799121,Geothermal Power Plant,Non-intermittent renewables
325,2035,4.6277231,Geothermal Power Plant,Non-intermittent renewables
326,2036,4.9861315,Geothermal Power Plant,Non-intermittent renewables
327,2037,5.4378975,Geothermal Power Plant,Non-intermittent renewables
328,2038,5.79556,Geothermal Power Plant,Non-intermittent renewables
329,2039,6.1788341,Geothermal Power Plant,Non-intermittent renewables
330,2040,6.5422376,Geothermal Power Plant,Non-intermittent renewables
331,2041,6.8855077,Geothermal Power Plant,Non-intermittent renewables
332,2042,7.2473423,Geothermal Power Plant,Non-intermittent renewables
333,2043,7.5915375,Geothermal Power Plant,Non-intermittent renewables
334,2044,7.9539031,Geothermal Power Plant,Non-intermittent renewables
335,2045,8.3773122,Geothermal Power Plant,Non-intermittent renewables
336,2046,8.8142295,Geothermal Power Plant,Non-intermittent renewables
337,2047,9.3059503,Geothermal Power Plant,Non-intermittent renewables
338,2048,9.6684703,Geothermal Power Plant,Non-intermittent renewables
339,2049,9.4711275,Geothermal Power Plant,Non-intermittent renewables
340,2050,9.3184486,Geothermal Power Plant,Non-intermittent renewables
341,2020,,Offshore Wind,Intermittent renewables
342,2021,,Offshore Wind,Intermittent renewables
343,2022,,Offshore Wind,Intermittent renewables
344,2023,,Offshore Wind,Intermittent renewables
345,2024,,Offshore Wind,Intermittent renewables
346,2025,,Offshore Wind,Intermittent renewables
347,2026,,Offshore Wind,Intermittent renewables
348,2027,,Offshore Wind,Intermittent renewables
349,2028,,Offshore Wind,Intermittent renewables
350,2029,,Offshore Wind,Intermittent renewables
351,2030,,Offshore Wind,Intermittent renewables
352,2031,,Offshore Wind,Intermittent renewables
353,2032,,Offshore Wind,Intermittent renewables
354,2033,,Offshore Wind,Intermittent renewables
355,2034,,Offshore Wind,Intermittent renewables
356,2035,,Offshore Wind,Intermittent renewables
357,2036,,Offshore Wind,Intermittent renewables
358,2037,,Offshore Wind,Intermittent renewables
359,2038,,Offshore Wind,Intermittent renewables
360,2039,,Offshore Wind,Intermittent renewables
361,2040,,Offshore Wind,Intermittent renewables
362,2041,,Offshore Wind,Intermittent renewables
363,2042,,Offshore Wind,Intermittent renewables
364,2043,,Offshore Wind,Intermittent renewables
365,2044,,Offshore Wind,Intermittent renewables
366,2045,,Offshore Wind,Intermittent renewables
367,2046,,Offshore Wind,Intermittent renewables
368,2047,,Offshore Wind,Intermittent renewables
369,2048,0.097396845,Offshore Wind,Intermittent renewables
370,2049,0.87314907,Offshore Wind,Intermittent renewables
371,2050,1.873246,Offshore Wind,Intermittent renewables
