ProcessName,Time,UtilizationFactor,day,season,MinimumServiceFactor,RegionName,ObjSort
Biomass Power Plant,2015,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2015,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2015,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2015,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2015,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2015,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2015,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2015,0.5,day,autumn,0,Ghana,Upper
Biomass Power Plant,2020,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2020,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2020,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2020,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2020,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2020,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2020,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2020,0.5,day,autumn,0,Ghana,Upper
Biomass Power Plant,2025,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2025,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2025,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2025,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2025,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2025,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2025,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2025,0.5,day,autumn,0,Ghana,Upper
Biomass Power Plant,2030,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2030,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2030,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2030,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2030,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2030,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2030,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2030,0.5,day,autumn,0,Ghana,Upper
Biomass Power Plant,2040,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2040,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2040,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2040,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2040,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2040,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2040,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2040,0.5,day,autumn,0,Ghana,Upper
Biomass Power Plant,2050,0.5,night,winter,0,Ghana,Upper
Biomass Power Plant,2050,0.5,day,winter,0,Ghana,Upper
Biomass Power Plant,2050,0.5,night,spring,0,Ghana,Upper
Biomass Power Plant,2050,0.5,day,spring,0,Ghana,Upper
Biomass Power Plant,2050,0.5,night,summer,0,Ghana,Upper
Biomass Power Plant,2050,0.5,day,summer,0,Ghana,Upper
Biomass Power Plant,2050,0.5,night,autumn,0,Ghana,Upper
Biomass Power Plant,2050,0.5,day,autumn,0,Ghana,Upper
CSP with Storage,2015,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2015,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2015,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2015,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2015,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2015,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2015,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2015,0.45,day,autumn,0,Ghana,Upper
CSP with Storage,2020,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2020,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2020,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2020,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2020,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2020,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2020,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2020,0.45,day,autumn,0,Ghana,Upper
CSP with Storage,2025,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2025,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2025,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2025,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2025,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2025,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2025,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2025,0.45,day,autumn,0,Ghana,Upper
CSP with Storage,2030,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2030,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2030,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2030,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2030,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2030,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2030,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2030,0.45,day,autumn,0,Ghana,Upper
CSP with Storage,2040,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2040,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2040,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2040,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2040,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2040,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2040,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2040,0.45,day,autumn,0,Ghana,Upper
CSP with Storage,2050,0.45,night,winter,0,Ghana,Upper
CSP with Storage,2050,0.45,day,winter,0,Ghana,Upper
CSP with Storage,2050,0.45,night,spring,0,Ghana,Upper
CSP with Storage,2050,0.45,day,spring,0,Ghana,Upper
CSP with Storage,2050,0.45,night,summer,0,Ghana,Upper
CSP with Storage,2050,0.45,day,summer,0,Ghana,Upper
CSP with Storage,2050,0.45,night,autumn,0,Ghana,Upper
CSP with Storage,2050,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2015,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2015,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2015,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2015,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2015,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2015,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2015,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2015,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2020,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2020,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2020,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2020,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2020,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2020,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2020,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2020,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2025,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2025,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2025,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2025,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2025,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2025,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2025,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2025,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2030,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2030,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2030,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2030,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2030,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2030,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2030,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2030,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2040,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2040,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2040,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2040,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2040,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2040,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2040,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2040,0.45,day,autumn,0,Ghana,Upper
CSP without Storage,2050,0.45,night,winter,0,Ghana,Upper
CSP without Storage,2050,0.45,day,winter,0,Ghana,Upper
CSP without Storage,2050,0.45,night,spring,0,Ghana,Upper
CSP without Storage,2050,0.45,day,spring,0,Ghana,Upper
CSP without Storage,2050,0.45,night,summer,0,Ghana,Upper
CSP without Storage,2050,0.45,day,summer,0,Ghana,Upper
CSP without Storage,2050,0.45,night,autumn,0,Ghana,Upper
CSP without Storage,2050,0.45,day,autumn,0,Ghana,Upper
Coal Power Plant,2015,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2015,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2015,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2015,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2015,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2015,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2015,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2015,0.85,day,autumn,0,Ghana,Upper
Coal Power Plant,2020,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2020,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2020,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2020,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2020,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2020,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2020,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2020,0.85,day,autumn,0,Ghana,Upper
Coal Power Plant,2025,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2025,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2025,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2025,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2025,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2025,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2025,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2025,0.85,day,autumn,0,Ghana,Upper
Coal Power Plant,2030,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2030,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2030,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2030,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2030,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2030,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2030,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2030,0.85,day,autumn,0,Ghana,Upper
Coal Power Plant,2040,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2040,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2040,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2040,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2040,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2040,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2040,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2040,0.85,day,autumn,0,Ghana,Upper
Coal Power Plant,2050,0.85,night,winter,0,Ghana,Upper
Coal Power Plant,2050,0.85,day,winter,0,Ghana,Upper
Coal Power Plant,2050,0.85,night,spring,0,Ghana,Upper
Coal Power Plant,2050,0.85,day,spring,0,Ghana,Upper
Coal Power Plant,2050,0.85,night,summer,0,Ghana,Upper
Coal Power Plant,2050,0.85,day,summer,0,Ghana,Upper
Coal Power Plant,2050,0.85,night,autumn,0,Ghana,Upper
Coal Power Plant,2050,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2015,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2020,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2025,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2030,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2040,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (CCGT),2050,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2015,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2020,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2025,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2030,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2040,0.85,day,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,night,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,day,winter,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,night,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,day,spring,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,night,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,day,summer,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,night,autumn,0,Ghana,Upper
Gas Power Plant (SCGT),2050,0.85,day,autumn,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,night,winter,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,day,winter,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,night,spring,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,day,spring,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,night,summer,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,day,summer,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,night,autumn,0,Ghana,Upper
Geothermal Power Plant,2015,0.79,day,autumn,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,night,winter,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,day,winter,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,night,spring,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,day,spring,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,night,summer,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,day,summer,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,night,autumn,0,Ghana,Upper
Geothermal Power Plant,2020,0.79,day,autumn,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,night,winter,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,day,winter,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,night,spring,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,day,spring,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,night,summer,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,day,summer,0,Ghana,Upper
Geothermal Power Plant,2025,0.79,night,autumn,0,Ghana,Upper
